Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,192.77000427246094,195.08999633789062,192.6300048828125,195.05999755859375,185.7694854736328,297800.0
2018-01-03,194.85000610351562,195.8800048828125,193.92999267578125,195.27000427246094,185.96946716308594,525900.0
2018-01-04,196.19000244140625,197.0,195.02000427246094,195.9499969482422,186.6170654296875,259300.0
2018-01-05,196.8800048828125,198.1999969482422,195.67999267578125,196.88999938964844,187.51229858398438,439900.0
2018-01-06,196.8800048828125,198.1999969482422,195.67999267578125,196.88999938964844,187.51229858398438,439900.0
2018-01-07,196.8800048828125,198.1999969482422,195.67999267578125,196.88999938964844,187.51229858398438,439900.0
2018-01-08,197.07000732421875,198.66000366210938,197.07000732421875,198.47999572753906,189.02659606933594,168300.0
2018-01-09,198.5800018310547,199.44000244140625,198.5800018310547,198.86000061035156,189.38848876953125,143300.0
2018-01-10,198.44000244140625,200.1699981689453,198.24000549316406,199.0500030517578,189.56942749023438,193300.0
2018-01-11,199.75,204.07000732421875,199.5500030517578,203.77000427246094,194.0646209716797,441700.0
2018-01-12,204.2899932861328,205.49000549316406,203.52999877929688,205.3300018310547,195.55032348632812,212300.0
2018-01-13,204.2899932861328,205.49000549316406,203.52999877929688,205.3300018310547,195.55032348632812,212300.0
2018-01-14,204.2899932861328,205.49000549316406,203.52999877929688,205.3300018310547,195.55032348632812,212300.0
2018-01-15,204.2899932861328,205.49000549316406,203.52999877929688,205.3300018310547,195.55032348632812,212300.0
2018-01-16,206.72999572753906,206.72999572753906,201.6300048828125,202.50999450683594,192.86460876464844,367100.0
2018-01-17,202.41000366210938,203.58999633789062,201.9199981689453,203.14999389648438,193.47415161132812,416200.0
2018-01-18,202.82000732421875,204.39999389648438,202.72000122070312,203.27000427246094,193.58843994140625,345100.0
2018-01-19,203.8000030517578,204.0500030517578,202.3300018310547,204.00999450683594,194.2931671142578,175900.0
2018-01-20,203.8000030517578,204.0500030517578,202.3300018310547,204.00999450683594,194.2931671142578,175900.0
2018-01-21,203.8000030517578,204.0500030517578,202.3300018310547,204.00999450683594,194.2931671142578,175900.0
2018-01-22,203.89999389648438,205.50999450683594,202.8000030517578,204.92999267578125,195.16934204101562,91800.0
